"id","title","release_date","popularity","vote_average","vote_count","budget","revenue","runtime","Year","Film","Producer(s)","Year_Numeric","Is_Oscar_Winner"
11086,"The Majestic","2001-12-21",3.1151,6.75,827,72000000,37317673,152,NA,NA,NA,NA,"No"
10016,"Ghosts of Mars","2001-08-14",3.1021,5.147,1214,28000000,14010832,98,NA,NA,NA,NA,"No"
7451,"xXx","2002-08-09",64.7539,5.987,4879,70000000,277448382,124,NA,NA,NA,NA,"No"
11013,"Secretary","2002-09-20",29.371,6.79,1885,4000000,9300000,111,NA,NA,NA,NA,"No"
979,"Irreversible","2002-05-22",26.3145,7.182,3263,3500000,6500000,93,NA,NA,NA,NA,"No"
121,"The Lord of the Rings: The Two Towers","2002-12-18",20.8032,8.416,23780,79000000,926287400,179,NA,NA,NA,NA,"No"
557,"Spider-Man","2002-05-01",19.2803,7.325,20568,139000000,821708551,121,NA,NA,NA,NA,"No"
672,"Harry Potter and the Chamber of Secrets","2002-11-13",16.4332,7.702,23488,100000000,876688482,161,NA,NA,NA,NA,"No"
425,"Ice Age","2002-03-14",14.8653,7.37,14224,59000000,383257136,81,NA,NA,NA,NA,"No"
2251,"Unfaithful","2002-05-10",14.2606,6.685,1703,50000000,119137784,124,NA,NA,NA,NA,"No"
598,"City of God","2002-08-30",13.5395,8.43,8144,3300000,30641770,129,NA,NA,NA,NA,"No"
423,"The Pianist","2002-09-17",10.8745,8.374,10092,35000000,120098945,150,NA,NA,NA,NA,"No"
4614,"The Sum of All Fears","2002-05-31",10.8496,6.37,1941,68000000,193921372,124,NA,NA,NA,NA,"No"
640,"Catch Me If You Can","2002-12-16",10.6421,7.977,17008,52000000,352114312,141,NA,NA,NA,NA,"No"
170,"28 Days Later","2002-10-31",10.3286,7.2,8439,8000000,82784517,113,NA,NA,NA,NA,"No"
1430,"Bowling for Columbine","2002-10-09",9.9424,7.512,1682,4000000,35564473,120,NA,NA,NA,NA,"No"
11544,"Lilo & Stitch","2002-06-21",9.8477,7.559,7057,80000000,273144151,85,NA,NA,NA,NA,"No"
1894,"Star Wars: Episode II - Attack of the Clones","2002-05-15",8.5484,6.592,14279,120000000,649398328,142,NA,NA,NA,NA,"No"
972809,"The Qing Palace's Secret Affairs 5","2002-01-01",8.3578,0,0,0,0,0,NA,NA,NA,NA,"No"
2501,"The Bourne Identity","2002-06-14",7.9588,7.476,10042,60000000,214034224,119,NA,NA,NA,NA,"No"
79,"Hero","2002-12-19",7.9318,7.51,2480,31000000,177394432,99,NA,NA,NA,NA,"No"
565,"The Ring","2002-10-18",7.9104,6.699,6643,48000000,249348933,115,NA,NA,NA,NA,"No"
2675,"Signs","2002-08-02",7.6436,6.698,6231,72000000,408200000,106,NA,NA,NA,NA,"No"
608,"Men in Black II","2002-07-03",7.4962,6.384,10608,140000000,445135288,88,NA,NA,NA,NA,"No"
9023,"Spirit: Stallion of the Cimarron","2002-05-24",7.2789,7.686,4868,80000000,122563539,83,NA,NA,NA,NA,"No"
16318,"Sex Is Zero","2002-12-12",7.2514,6.169,136,0,0,96,NA,NA,NA,NA,"No"
4108,"The Transporter","2002-10-02",7.2372,6.72,5788,21000000,43900000,92,NA,NA,NA,NA,"No"
14128,"Cinderella II: Dreams Come True","2002-02-23",7.2237,6.1,1529,5000000,0,74,NA,NA,NA,NA,"No"
93685,"Swingers","2002-10-01",6.9973,5.8,71,0,0,93,NA,NA,NA,NA,"No"
9016,"Treasure Planet","2002-11-26",6.7719,7.565,4581,140000000,109578115,96,NA,NA,NA,NA,"No"
180,"Minority Report","2002-06-20",6.7146,7.353,9575,102000000,358372926,145,NA,NA,NA,NA,"No"
11362,"The Count of Monte Cristo","2002-01-23",6.694,7.673,2006,35000000,75395048,131,NA,NA,NA,NA,"No"
65,"8 Mile","2002-11-08",6.2582,7.142,7787,41000000,242875078,111,NA,NA,NA,NA,"No"
36586,"Blade II","2002-03-22",6.2045,6.558,5176,54000000,155010032,117,NA,NA,NA,NA,"No"
10775,"Infernal Affairs","2002-12-12",6.1217,7.805,1851,6400000,8836958,101,NA,NA,NA,NA,"No"
9637,"Scooby-Doo","2002-06-14",6.0295,6.099,4756,84000000,275650703,87,NA,NA,NA,NA,"No"
11852,"The Hot Chick","2002-12-13",6.0209,6.36,2157,34000000,54639553,104,NA,NA,NA,NA,"No"
36669,"Die Another Day","2002-11-17",5.7595,5.997,3870,142000000,431971116,133,NA,NA,NA,NA,"No"
3131,"Gangs of New York","2002-12-14",5.6364,7.315,7176,100000000,193772504,168,NA,NA,NA,NA,"No"
